Year,Amount,Neighborhood,LAT,LON,Crime Score,Label
2010,"1,059",Norwalk,33.926559000000005,-118.085166,0.0,L237
2010,940,Whittier,33.970589000000004,-118.042077,0.0,L238
2010,"1,586",Encino,34.164742,-118.5254075,181.7975,L239
2010,799,Westlake,34.054276,-118.26086,579.456,L240
2010,"1,216",Pasadena,34.15491,-118.126929,0.0,L241
2010,"1,079",Montebello,34.0186495,-118.128521,0.0,L242
2010,"1,001",Inglewood,33.973991,-118.3621355,0.0,L243
2010,"1,008",East Hollywood,34.0871475,-118.30481100000002,562.2016000000001,L244
2010,"1,430",Norwalk,33.8830775,-118.0889585,0.0,L245
2010,"2,000",Sylmar,34.320427,-118.428524,52.63779999999999,L246
2010,,Long Beach,33.7864955,-118.216506,0.0,L247
2010,"1,558",La Mirada,33.908827,-118.0235205,0.0,L248
2010,910,Pomona,34.0571575,-117.7501715,0.0,L249
2010,"1,199",Carson,33.8656315,-118.2505645,0.0,L250
2010,"1,331",West Covina,34.024356,-117.9101125,0.0,L251
2010,970,Walnut Park,33.963155,-118.226586,0.0,L252
2010,"1,199",West Whittier-Los Nietos,33.9780945,-118.071607,0.0,L253
2010,"1,176",Pacoima,34.258908500000004,-118.4345385,250.05599999999995,L254
2010,"1,164",Hacienda Heights,33.9825995,-117.9424605,0.0,L255
2010,"1,683",Long Beach,33.7850495,-118.09909,0.0,L256
2010,947,Mid-City,34.037613,-118.3607045,123.3727,L257
2010,"1,040",Reseda,34.2047035,-118.527322,132.67110000000002,L258
2010,969,Atwater Village,34.1156225,-118.259303,77.5526,L259
2010,882,Florence-Firestone,33.959393,-118.2495725,0.0,L260
2010,"1,480",Granada Hills,34.2863475,-118.5084525,36.5119,L261
2010,997,San Fernando,34.286111,-118.439691,0.0,L262
2010,"1,060",Alhambra,34.0810405,-118.140708,0.0,L263
2010,937,South Park,33.9925325,-118.2608205,496.9933,L264
2010,"1,079",Monrovia,34.1455095,-117.983079,0.0,L265
2010,"1,047",Sunland,34.253933,-118.3147245,31.580099999999995,L266
2010,"1,249",Carson,33.8216445,-118.2813545,0.0,L267
2010,786,Westlake,34.0530605,-118.281509,900.7673999999997,L268
2010,"1,721",Cerritos,33.8805125,-118.0376605,0.0,L269
2010,"1,342",Alhambra,34.064906,-118.141417,0.0,L270
2010,"1,225",Del Aire,33.905529,-118.365785,0.0,L271
2010,"1,773",Manhattan Beach,33.8800905,-118.387312,0.0,L272
2010,"1,126",Valley Glen,34.177484,-118.417834,66.61859999999999,L273
2010,"1,213",Norwalk,33.891153499999994,-118.0911425,0.0,L274
2010,871,Lynwood,33.9238845,-118.2198235,0.0,L275
2010,"1,323",Temple City,34.1021645,-118.05255,0.0,L276
2010,530,Central-Alameda,33.992114,-118.242838,434.73239999999987,L277
2010,840,Florence,33.9785445,-118.27732,996.2,L278
2010,909,Highland Park,34.1074675,-118.198023,381.4714,L279
2010,"1,027",El Sereno,34.075975,-118.168817,113.5779,L280
2010,999,Long Beach,33.800776500000005,-118.185019,0.0,L281
2010,"1,005",Northridge,34.2247565,-118.5149735,23.96259999999999,L282
2010,698,Long Beach,33.778964,-118.1937175,0.0,L283
2010,"1,114",South El Monte,34.045790999999994,-118.05856599999998,0.0,L284
2010,"1,029",Long Beach,33.81528,-118.21037350000002,0.0,L285
2010,"1,173",Rowland Heights,33.984203,-117.9030725,0.0,L286
2010,974,Koreatown,34.067143,-118.31158899999998,341.6332000000001,L287
2010,973,El Monte,34.0594235,-118.034921,0.0,L288
2010,875,Westlake,34.053715999999994,-118.287906,607.5679,L289
2010,"2,000",Brentwood,34.0560275,-118.4819375,22.9948,L290
2010,"1,275",East La Mirada,33.9235475,-117.985447,0.0,L291
2010,"2,000",Del Rey,33.9825085,-118.4328715,33.0006,L292
2010,757,Historic South-Central,34.0242035,-118.2622875,501.48800000000006,L293
2010,918,Hyde Park,33.987231,-118.327693,569.8325000000002,L294
